"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5TonaRg0eha6ToA5T76Oen","Africadelic","spotify:artist:30UIjoCGuL3Fa5BOc3ayNW","Manu Dibango","spotify:album:2ooVp02uZIUouqw5otai3v","Africadelic","spotify:artist:30UIjoCGuL3Fa5BOc3ayNW","Manu Dibango","2006","https://i.scdn.co/image/ab67616d0000b27302a14d86afe1f50f5ca970be","1","3","136360","","false","0","spotify:user:1231409117","2014-12-05T22:53:20Z"
"spotify:track:1fNdzUZYo3EAn6G1jMin44","The Grand Elixir","spotify:artist:0rKvDn89xDynwz92vg0QGv","Ocote Soul Sounds and Adrian Quesada","spotify:album:1tAES23SVcBfK2ki8avux1","The Alchemist Manifesto","spotify:artist:0rKvDn89xDynwz92vg0QGv","Ocote Soul Sounds and Adrian Quesada","2008-06-10","https://i.scdn.co/image/ab67616d0000b273f8e8910bca8a4b7722562fdc","1","1","212866","","false","0","spotify:user:1231409117","2014-12-05T23:13:12Z"
"spotify:track:0jNjtiW51SGax27XK5IjTR","Fif","spotify:artist:6QqbHm5rA5LdwlHYcIWmun","Damian Erskine","spotify:album:6JWEFEmi8QczXtrkT4WqP7","So To Speak","spotify:artist:6QqbHm5rA5LdwlHYcIWmun","Damian Erskine","2010-02-01","https://i.scdn.co/image/ab67616d0000b2730bb71a2c1c51582de981a1e0","1","2","490586","https://p.scdn.co/mp3-preview/f751d337742c759efef08a6ff924a2ecd8df7fcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:1231409117","2014-12-05T23:20:06Z"
"spotify:track:23SDbsNuYtfp81DOYdZOZm","Mary Lou","spotify:artist:0zC1296fzy50mv5dr0KeYL","The Rhythmagic Orchestra","spotify:album:5Zr6K7TRBrlErLYRCynwq0","The Rhythmagic Orchestra","spotify:artist:0zC1296fzy50mv5dr0KeYL","The Rhythmagic Orchestra","2011-03-29","https://i.scdn.co/image/ab67616d0000b273b5fa7eb7040e12a6ad086706","1","9","332373","","false","0","spotify:user:1231409117","2014-12-05T23:29:10Z"
"spotify:track:5LM8DWq97y329640TX7sBD","Pinochio","spotify:artist:0tSCCXa3mZWhzjVPOZVnvZ","Ignacio Berroa","spotify:album:5j3EdKkzl2V9hFTQv4Ibxa","Codes","spotify:artist:0tSCCXa3mZWhzjVPOZVnvZ","Ignacio Berroa","2006-01-01","https://i.scdn.co/image/ab67616d0000b2735068e853467b8cf41af08028","1","6","384640","https://p.scdn.co/mp3-preview/0eb5a077f7c97676587ef956122e500062beb346?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:1231409117","2014-12-05T23:50:11Z"
"spotify:track:38K9984DzmMAoja2ZocChY","Ye Ke Ye Ke","spotify:artist:3SInttLnvf5G4Aa95aAYPr","Jean-Luc Ponty","spotify:album:0yPQi7v0fchTMkQWmfRBWB","Tchokola","spotify:artist:3SInttLnvf5G4Aa95aAYPr","Jean-Luc Ponty","1991-05-03","https://i.scdn.co/image/ab67616d0000b273e987f58195ef950cc2edea3f","1","6","296640","https://p.scdn.co/mp3-preview/9492b3ccc45db7582149de3c8875d45bf246f0f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:1231409117","2014-12-06T23:48:38Z"
"spotify:track:1IToxcKd8vECzP7VzMpvsi","St. Ogredol","spotify:artist:0H895uoamTDU0A9OH73CMT, spotify:artist:1fjoiNdVaX2czZSeiFLuCM","Caribbean Jazz Project, Dave Samuels","spotify:album:6gksu6BUx8TTlJKfeFBClV","Mosaic","spotify:artist:0H895uoamTDU0A9OH73CMT","Caribbean Jazz Project","2006-01-01","https://i.scdn.co/image/ab67616d0000b2731dab1b0deb9cacdd3a60f3eb","1","2","299373","","false","0","spotify:user:1231409117","2014-12-06T23:51:01Z"
"spotify:track:6m8Decb4fVwtONv5eYLHFC","Sakka Sakka","spotify:artist:3SInttLnvf5G4Aa95aAYPr","Jean-Luc Ponty","spotify:album:0yPQi7v0fchTMkQWmfRBWB","Tchokola","spotify:artist:3SInttLnvf5G4Aa95aAYPr","Jean-Luc Ponty","1991-05-03","https://i.scdn.co/image/ab67616d0000b273e987f58195ef950cc2edea3f","1","2","320706","https://p.scdn.co/mp3-preview/00f77ddbec718c69e04f6590138612e68e81951c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:1231409117","2014-12-06T23:48:35Z"
"spotify:track:1bHSSLbnnMKoSchGVXbVFl","Afro Green","spotify:artist:0H895uoamTDU0A9OH73CMT, spotify:artist:1fjoiNdVaX2czZSeiFLuCM","Caribbean Jazz Project, Dave Samuels","spotify:album:6gksu6BUx8TTlJKfeFBClV","Mosaic","spotify:artist:0H895uoamTDU0A9OH73CMT","Caribbean Jazz Project","2006-01-01","https://i.scdn.co/image/ab67616d0000b2731dab1b0deb9cacdd3a60f3eb","1","4","340586","","false","0","spotify:user:1231409117","2014-12-06T23:51:10Z"
"spotify:track:2I1HILXKkSnth4tbCRAYHa","Recon","spotify:artist:14vvAkYn4MeVtf8lgUMdbH, spotify:artist:1nZPtbIZsYvJIAXeUH009y","Dean Brown, Gerry Etkins","spotify:album:0wBQiwytwPjQiFdJLBg7ZC","Unfinished Business","spotify:artist:14vvAkYn4MeVtf8lgUMdbH","Dean Brown","2012-09-18","https://i.scdn.co/image/ab67616d0000b2738cadcb6166ee8303ca291b5c","1","4","471853","","false","0","spotify:user:1231409117","2014-12-06T23:52:07Z"
